run_id,scheme,domains,M,tagK,topology,lsdb_entries,fib_entries,lsdb_theory,result_dir
central_d8_s42,central,8,4,32,rocketfuel,1,19,0,results/sanr_baseline/exp4-scaling/central_d8_s42
central_d8_s43,central,8,4,32,rocketfuel,1,19,0,results/sanr_baseline/exp4-scaling/central_d8_s43
central_d8_s44,central,8,4,32,rocketfuel,1,19,0,results/sanr_baseline/exp4-scaling/central_d8_s44
central_d16_s42,central,16,4,32,rocketfuel,1,35,0,results/sanr_baseline/exp4-scaling/central_d16_s42
central_d16_s43,central,16,4,32,rocketfuel,1,35,0,results/sanr_baseline/exp4-scaling/central_d16_s43
central_d16_s44,central,16,4,32,rocketfuel,1,35,0,results/sanr_baseline/exp4-scaling/central_d16_s44
central_d24_s42,central,24,4,32,rocketfuel,1,51,0,results/sanr_baseline/exp4-scaling/central_d24_s42
central_d24_s43,central,24,4,32,rocketfuel,1,51,0,results/sanr_baseline/exp4-scaling/central_d24_s43
central_d24_s44,central,24,4,32,rocketfuel,1,51,0,results/sanr_baseline/exp4-scaling/central_d24_s44
central_d32_s42,central,32,4,32,rocketfuel,1,67,0,results/sanr_baseline/exp4-scaling/central_d32_s42
central_d32_s43,central,32,4,32,rocketfuel,1,67,0,results/sanr_baseline/exp4-scaling/central_d32_s43
central_d32_s44,central,32,4,32,rocketfuel,1,67,0,results/sanr_baseline/exp4-scaling/central_d32_s44
iroute_d8_s42,iroute,8,4,32,rocketfuel,32,21,32,results/sanr_baseline/exp4-scaling/iroute_d8_s42
iroute_d8_s43,iroute,8,4,32,rocketfuel,32,21,32,results/sanr_baseline/exp4-scaling/iroute_d8_s43
iroute_d8_s44,iroute,8,4,32,rocketfuel,32,21,32,results/sanr_baseline/exp4-scaling/iroute_d8_s44
iroute_d16_s42,iroute,16,4,32,rocketfuel,64,37,64,results/sanr_baseline/exp4-scaling/iroute_d16_s42
iroute_d16_s43,iroute,16,4,32,rocketfuel,64,37,64,results/sanr_baseline/exp4-scaling/iroute_d16_s43
iroute_d16_s44,iroute,16,4,32,rocketfuel,64,37,64,results/sanr_baseline/exp4-scaling/iroute_d16_s44
iroute_d24_s42,iroute,24,4,32,rocketfuel,96,53,96,results/sanr_baseline/exp4-scaling/iroute_d24_s42
iroute_d24_s43,iroute,24,4,32,rocketfuel,96,53,96,results/sanr_baseline/exp4-scaling/iroute_d24_s43
iroute_d24_s44,iroute,24,4,32,rocketfuel,96,53,96,results/sanr_baseline/exp4-scaling/iroute_d24_s44
iroute_d32_s42,iroute,32,4,32,rocketfuel,128,69,128,results/sanr_baseline/exp4-scaling/iroute_d32_s42
iroute_d32_s43,iroute,32,4,32,rocketfuel,128,69,128,results/sanr_baseline/exp4-scaling/iroute_d32_s43
iroute_d32_s44,iroute,32,4,32,rocketfuel,128,69,128,results/sanr_baseline/exp4-scaling/iroute_d32_s44
tag_d8_s42,tag,8,4,32,rocketfuel,523,119,256,results/sanr_baseline/exp4-scaling/tag_d8_s42
tag_d8_s43,tag,8,4,32,rocketfuel,523,119,256,results/sanr_baseline/exp4-scaling/tag_d8_s43
tag_d8_s44,tag,8,4,32,rocketfuel,523,119,256,results/sanr_baseline/exp4-scaling/tag_d8_s44
tag_d16_s42,tag,16,4,32,rocketfuel,523,135,512,results/sanr_baseline/exp4-scaling/tag_d16_s42
tag_d16_s43,tag,16,4,32,rocketfuel,523,135,512,results/sanr_baseline/exp4-scaling/tag_d16_s43
tag_d16_s44,tag,16,4,32,rocketfuel,523,135,512,results/sanr_baseline/exp4-scaling/tag_d16_s44
tag_d24_s42,tag,24,4,32,rocketfuel,523,151,768,results/sanr_baseline/exp4-scaling/tag_d24_s42
tag_d24_s43,tag,24,4,32,rocketfuel,523,151,768,results/sanr_baseline/exp4-scaling/tag_d24_s43
tag_d24_s44,tag,24,4,32,rocketfuel,523,151,768,results/sanr_baseline/exp4-scaling/tag_d24_s44
tag_d32_s42,tag,32,4,32,rocketfuel,523,167,1024,results/sanr_baseline/exp4-scaling/tag_d32_s42
tag_d32_s43,tag,32,4,32,rocketfuel,523,167,1024,results/sanr_baseline/exp4-scaling/tag_d32_s43
tag_d32_s44,tag,32,4,32,rocketfuel,523,167,1024,results/sanr_baseline/exp4-scaling/tag_d32_s44
sanr-tag_d8_s42,sanr-tag,8,4,32,rocketfuel,701,119,256,results/sanr_baseline/exp4-scaling/sanr-tag_d8_s42
sanr-tag_d8_s43,sanr-tag,8,4,32,rocketfuel,701,119,256,results/sanr_baseline/exp4-scaling/sanr-tag_d8_s43
sanr-tag_d8_s44,sanr-tag,8,4,32,rocketfuel,701,119,256,results/sanr_baseline/exp4-scaling/sanr-tag_d8_s44
sanr-tag_d16_s42,sanr-tag,16,4,32,rocketfuel,701,135,512,results/sanr_baseline/exp4-scaling/sanr-tag_d16_s42
sanr-tag_d16_s43,sanr-tag,16,4,32,rocketfuel,701,135,512,results/sanr_baseline/exp4-scaling/sanr-tag_d16_s43
sanr-tag_d16_s44,sanr-tag,16,4,32,rocketfuel,701,135,512,results/sanr_baseline/exp4-scaling/sanr-tag_d16_s44
sanr-tag_d24_s42,sanr-tag,24,4,32,rocketfuel,701,151,768,results/sanr_baseline/exp4-scaling/sanr-tag_d24_s42
sanr-tag_d24_s43,sanr-tag,24,4,32,rocketfuel,701,151,768,results/sanr_baseline/exp4-scaling/sanr-tag_d24_s43
sanr-tag_d24_s44,sanr-tag,24,4,32,rocketfuel,701,151,768,results/sanr_baseline/exp4-scaling/sanr-tag_d24_s44
sanr-tag_d32_s42,sanr-tag,32,4,32,rocketfuel,701,167,1024,results/sanr_baseline/exp4-scaling/sanr-tag_d32_s42
sanr-tag_d32_s43,sanr-tag,32,4,32,rocketfuel,701,167,1024,results/sanr_baseline/exp4-scaling/sanr-tag_d32_s43
sanr-tag_d32_s44,sanr-tag,32,4,32,rocketfuel,701,167,1024,results/sanr_baseline/exp4-scaling/sanr-tag_d32_s44
flood_d8_s42,flood,8,4,32,rocketfuel,0,18,0,results/sanr_baseline/exp4-scaling/flood_d8_s42
flood_d8_s43,flood,8,4,32,rocketfuel,0,18,0,results/sanr_baseline/exp4-scaling/flood_d8_s43
flood_d8_s44,flood,8,4,32,rocketfuel,0,18,0,results/sanr_baseline/exp4-scaling/flood_d8_s44
flood_d16_s42,flood,16,4,32,rocketfuel,0,34,0,results/sanr_baseline/exp4-scaling/flood_d16_s42
flood_d16_s43,flood,16,4,32,rocketfuel,0,34,0,results/sanr_baseline/exp4-scaling/flood_d16_s43
flood_d16_s44,flood,16,4,32,rocketfuel,0,34,0,results/sanr_baseline/exp4-scaling/flood_d16_s44
flood_d24_s42,flood,24,4,32,rocketfuel,0,50,0,results/sanr_baseline/exp4-scaling/flood_d24_s42
flood_d24_s43,flood,24,4,32,rocketfuel,0,50,0,results/sanr_baseline/exp4-scaling/flood_d24_s43
flood_d24_s44,flood,24,4,32,rocketfuel,0,50,0,results/sanr_baseline/exp4-scaling/flood_d24_s44
