time_slot,domainId,nodeId,msrr_count,selected
4,3,0,2,1
4,7,0,2,1
4,0,0,1,0
4,1,0,1,0
4,2,0,1,0
4,4,0,1,0
4,6,0,1,0
5,1,0,3,1
5,0,0,2,1
5,2,0,1,0
5,3,0,1,0
5,4,0,1,0
5,5,0,1,0
5,7,0,1,0
6,6,0,3,1
6,3,0,2,1
6,0,0,1,0
6,1,0,1,0
6,2,0,1,0
6,4,0,1,0
6,7,0,1,0
7,1,0,3,1
7,3,0,3,0
7,5,0,2,0
7,2,0,1,0
7,6,0,1,0
8,5,0,3,1
8,1,0,2,0
8,3,0,2,0
8,6,0,2,0
8,2,0,1,0
9,0,0,2,1
9,1,0,2,1
9,3,0,2,0
9,2,0,1,0
9,5,0,1,0
9,6,0,1,0
9,7,0,1,0
10,6,0,3,1
10,2,0,2,1
10,3,0,2,0
10,0,0,1,0
10,1,0,1,0
10,5,0,1,0
11,5,0,4,1
11,0,0,1,1
11,1,0,1,0
11,2,0,1,0
11,3,0,1,0
11,4,0,1,0
11,6,0,1,0
12,6,0,3,1
12,1,0,2,1
12,0,0,1,0
12,2,0,1,0
12,4,0,1,0
12,5,0,1,0
12,7,0,1,0
