run_id,scheme,seed,frequency,sim_time,topology,mean_hops,unique_hops_values,p50_ms,p95_ms,domain_acc,ctrl_bytes_per_sec,result_dir,source_result_dir,canonical_run_id,run_class,cache_mode,seed_provenance,paper_grade
central_freq5_s42,central,42,5,40,rocketfuel,0.000000,0,10.146900,11.438100,1.000000,1930.650000,results/runs/fig3-load-paper-grade-20260311a-central_freq5_s42,/tmp/fig3-load-paper-grade-20260311a-stage/central_freq5_s42,fig3-load-paper-grade-20260311a-central_freq5_s42,paper_grade,disabled,native,true
central_freq10_s42,central,42,10,40,rocketfuel,0.000000,0,10.240100,11.391500,1.000000,3846.780000,results/runs/fig3-load-paper-grade-20260311a-central_freq10_s42,/tmp/fig3-load-paper-grade-20260311a-stage/central_freq10_s42,fig3-load-paper-grade-20260311a-central_freq10_s42,paper_grade,disabled,native,true
central_freq20_s42,central,42,20,40,rocketfuel,0.000000,0,10.240100,11.391500,1.000000,4828.120000,results/runs/fig3-load-paper-grade-20260311a-central_freq20_s42,/tmp/fig3-load-paper-grade-20260311a-stage/central_freq20_s42,fig3-load-paper-grade-20260311a-central_freq20_s42,paper_grade,disabled,native,true
iroute_freq5_s42,iroute,42,5,40,rocketfuel,5.040000,4,46.646900,55.648000,0.844800,15421.080000,results/runs/fig3-load-paper-grade-20260311a-iroute_freq5_s42,/tmp/fig3-load-paper-grade-20260311a-stage/iroute_freq5_s42,fig3-load-paper-grade-20260311a-iroute_freq5_s42,paper_grade,disabled,native,true
iroute_freq10_s42,iroute,42,10,40,rocketfuel,5.100000,4,47.266900,55.648000,0.842100,30982.220000,results/runs/fig3-load-paper-grade-20260311a-iroute_freq10_s42,/tmp/fig3-load-paper-grade-20260311a-stage/iroute_freq10_s42,fig3-load-paper-grade-20260311a-iroute_freq10_s42,paper_grade,disabled,native,true
iroute_freq20_s42,iroute,42,20,40,rocketfuel,5.140000,4,47.072400,55.664400,0.830600,38902.620000,results/runs/fig3-load-paper-grade-20260311a-iroute_freq20_s42,/tmp/fig3-load-paper-grade-20260311a-stage/iroute_freq20_s42,fig3-load-paper-grade-20260311a-iroute_freq20_s42,paper_grade,disabled,native,true
tag_freq5_s42,tag,42,5,40,rocketfuel,5.270000,3,46.576300,51.440300,0.298900,109376.930000,results/runs/fig3-load-paper-grade-20260311a-tag_freq5_s42,/tmp/fig3-load-paper-grade-20260311a-stage/tag_freq5_s42,fig3-load-paper-grade-20260311a-tag_freq5_s42,paper_grade,disabled,native,true
tag_freq10_s42,tag,42,10,40,rocketfuel,5.230000,3,46.846300,51.865300,0.277800,219318.450000,results/runs/fig3-load-paper-grade-20260311a-tag_freq10_s42,/tmp/fig3-load-paper-grade-20260311a-stage/tag_freq10_s42,fig3-load-paper-grade-20260311a-tag_freq10_s42,paper_grade,disabled,native,true
tag_freq20_s42,tag,42,20,40,rocketfuel,5.910000,3,46.567800,51.020800,0.127100,256376.100000,results/runs/fig3-load-paper-grade-20260311a-tag_freq20_s42,/tmp/fig3-load-paper-grade-20260311a-stage/tag_freq20_s42,fig3-load-paper-grade-20260311a-tag_freq20_s42,paper_grade,disabled,native,true
flood_freq5_s42,flood,42,5,40,rocketfuel,5.000000,4,48.208500,55.434500,0.477000,15096.580000,results/runs/fig3-load-paper-grade-20260311a-flood_freq5_s42,/tmp/fig3-load-paper-grade-20260311a-stage/flood_freq5_s42,fig3-load-paper-grade-20260311a-flood_freq5_s42,paper_grade,disabled,native,true
flood_freq10_s42,flood,42,10,40,rocketfuel,5.100000,4,48.473100,55.760500,0.473700,30294.200000,results/runs/fig3-load-paper-grade-20260311a-flood_freq10_s42,/tmp/fig3-load-paper-grade-20260311a-stage/flood_freq10_s42,fig3-load-paper-grade-20260311a-flood_freq10_s42,paper_grade,disabled,native,true
flood_freq20_s42,flood,42,20,40,rocketfuel,5.140000,4,48.498500,55.863400,0.475300,37955.800000,results/runs/fig3-load-paper-grade-20260311a-flood_freq20_s42,/tmp/fig3-load-paper-grade-20260311a-stage/flood_freq20_s42,fig3-load-paper-grade-20260311a-flood_freq20_s42,paper_grade,disabled,native,true
